solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
STRONG,PARAMESTI-1,100,eta_1,0.3,"[0.05, 0.15, 0.3]","[-3.891558350050273, -3.894612042728327, -3.915895033955804]",0.3,-3.915895033955804,-3.915895033955804
STRONG,PARAMESTI-1,100,gamma_1,0.9,"[0.3, 0.45, 0.6]","[-3.879001138388909, -3.879001138388909, -3.879385603598876]",0.6,-3.879385603598876,-3.915895033955804
STRONG,PARAMESTI-1,100,gamma_2,1.11,"[1.1, 1.33, 1.5]","[-3.915895033955804, -3.886345507222995, -3.894431091476566]",1.1,-3.915895033955804,-3.915895033955804
STRONG,PARAMESTI-1,100,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, -3.924887263657386, -3.929053268570848]",2.0,-3.929053268570848,-3.915895033955804
STRONG,DYNAMNEWS-1,100,n0,10.0,"[4, 6, 8]","[-196.00760399971182, -196.00760399971182, -196.00760399971182]",4.0,-196.00760399971182,-196.00760399971182
STRONG,DYNAMNEWS-1,100,n_r,10.0,"[4, 6, 8]","[-101.18299489161167, -164.15512159328787, -195.9994053443107]",8.0,-195.9994053443107,-196.00760399971182
STRONG,DYNAMNEWS-1,100,eta_0,0.01,"[0.001, 0.005, 0.01]","[-196.00760399971182, -196.00760399971182, -196.00760399971182]",0.001,-196.00760399971182,-196.00760399971182
STRONG,DYNAMNEWS-1,100,eta_1,0.3,"[0.05, 0.15, 0.3]","[-196.00760399971182, -196.00760399971182, -196.00760399971182]",0.05,-196.00760399971182,-196.00760399971182
STRONG,DYNAMNEWS-1,100,gamma_1,0.9,"[0.3, 0.45, 0.6]","[-196.00760399971182, -196.00760399971182, -196.00760399971182]",0.3,-196.00760399971182,-196.00760399971182
STRONG,DYNAMNEWS-1,100,gamma_2,1.11,"[1.1, 1.33, 1.5]","[-196.00760399971182, -196.00760399971182, -196.00760399971182]",1.1,-196.00760399971182,-196.00760399971182
STRONG,DYNAMNEWS-1,100,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, -228.68205979130718, -260.45313385843633]",2.0,-260.45313385843633,-196.00760399971182
ASTROMORF,SAN-1,100,eta_1,0.1,"[0.01, 0.03, 0.05]","[148.21965594515987, 148.21965594515987, 148.21965594515987]",0.01,148.21965594515987,148.21965594515987
ASTROMORF,SAN-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[148.21965594515987, 148.21965594515987, 148.21965594515987]",0.2,148.21965594515987,148.21965594515987
ASTROMORF,SAN-1,100,gamma_1,2.5,"[2.0, 2.5, 3.5]","[148.21965594515987, 148.21965594515987, 148.21965594515987]",2.0,148.21965594515987,148.21965594515987
ASTROMORF,SAN-1,100,gamma_2,1.2,"[1.2, 1.5, 2.0]","[148.21965594515987, 151.25512766290737, 144.61928130536552]",2.0,144.61928130536552,148.21965594515987
ASTROMORF,SAN-1,100,gamma_3,0.5,"[0.3, 0.5, 0.8]","[148.61843434613982, 148.21965594515987, 150.27100350231964]",0.5,148.21965594515987,148.21965594515987
ASTROMORF,SAN-1,100,lambda_min,5.0,"[4, 6, 10]","[150.67865642148413, 134.49086732720463, 140.736135037854]",6.0,134.49086732720463,148.21965594515987
ASTROMORF,SAN-1,100,subproblem_regularisation,0.15,"[0.075, 0.15, 0.3]","[147.71273300267913, 148.21965594515987, 145.47012883519966]",0.3,145.47012883519966,148.21965594515987
ASTROMORF,SAN-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.02, 0.05]","[120.90273352778439, 145.10230629232487, 147.59401389840815]",0.01,120.90273352778439,148.21965594515987
ASTROMORF,NETWORK-1,100,eta_1,0.1,"[0.01, 0.03, 0.05]","[3086.6458207100745, 3086.6458207100745, 3086.6458207100745]",0.01,3086.6458207100745,3086.6458207100745
ASTROMORF,NETWORK-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[3086.6458207100745, 3086.6458207100745, 3086.6458207100745]",0.2,3086.6458207100745,3086.6458207100745
