dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,5000,0.05,2.0,0.0,40,42,0.0012571767573337084,0.0
20,5000,0.05,2.0,0.25,40,41,0.0005908102307337847,0.0
20,5000,0.05,2.0,0.5,47,48,0.00017751736447792557,0.0
20,5000,0.05,2.0,1.0,43,46,0.00033958296639927154,0.0
20,5000,0.05,3.0,0.0,34,37,0.0023482156015377335,0.0
20,5000,0.05,3.0,0.25,44,44,0.0009142280077406728,0.0
20,5000,0.05,3.0,0.5,44,46,0.00024282823161201852,0.0
20,5000,0.05,3.0,1.0,48,48,9.330850367962364e-05,0.0
20,5000,0.1,1.0,0.0,35,36,0.003096741629063884,0.0
20,5000,0.1,1.0,0.25,40,40,0.0014736918850126993,0.0
20,5000,0.1,1.0,0.5,43,45,0.0007608352793261952,0.0
20,5000,0.1,1.0,1.0,48,49,0.00022920171873665011,0.0
20,5000,0.1,1.5,0.0,35,36,0.0033645274745125646,0.0
20,5000,0.1,1.5,0.25,42,42,0.0013943286837027708,0.0
20,5000,0.1,1.5,0.5,45,47,0.00034951329435565885,0.0
20,5000,0.1,1.5,1.0,45,46,0.00017325774499558647,0.0
20,5000,0.1,2.0,0.0,34,37,0.004295740801292346,0.0
20,5000,0.1,2.0,0.25,39,41,0.002484543639876788,0.0
20,5000,0.1,2.0,0.5,41,41,0.001400402976454805,0.0
20,5000,0.1,2.0,1.0,43,43,0.00036933671014957787,0.0
20,5000,0.1,3.0,0.0,32,32,0.008544823227031626,0.0
20,5000,0.1,3.0,0.25,38,40,0.0026707318735614627,0.0
20,5000,0.1,3.0,0.5,43,44,0.0006038896575947651,0.0
20,5000,0.1,3.0,1.0,45,46,0.00037743397429071206,0.0
20,5000,0.2,1.0,0.0,35,36,0.009279357480836999,0.0
20,5000,0.2,1.0,0.25,33,37,0.0025381416941738537,0.0
20,5000,0.2,1.0,0.5,33,36,0.002199492838165887,0.0
20,5000,0.2,1.0,1.0,45,47,0.0004962701684366832,0.0
20,5000,0.2,1.5,0.0,35,35,0.013641745496224635,0.0
20,5000,0.2,1.5,0.25,37,37,0.00612450747309704,0.0
20,5000,0.2,1.5,0.5,34,39,0.002698308754253981,0.0
20,5000,0.2,1.5,1.0,41,42,0.0011016616346897015,0.0
20,5000,0.2,2.0,0.0,25,29,0.012618363980956037,0.0017781469078895565
20,5000,0.2,2.0,0.25,30,32,0.01140634840817739,0.0
