solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
STRONG,SSCONT-1,gamma_1,0.9,"[0.3, 0.45, 0.6]","[613.287827437078, 613.1662271324184, 613.5134855136699]",0.45,613.1662271324184,612.1444739001982
STRONG,SSCONT-1,gamma_2,1.11,"[1.1, 1.33, 1.5]","[612.1444739001982, 612.1399526390168, 612.1399526390168]",1.33,612.1399526390168,612.1444739001982
STRONG,SSCONT-1,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 615.0254420763771, 617.307570930366]",1.414,615.0254420763771,612.1444739001982
STRONG,DYNAMNEWS-1,n0,10.0,"[4, 6, 8]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",4.0,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,n_r,10.0,"[4, 6, 8]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",4.0,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,eta_0,0.01,"[0.001, 0.005, 0.01]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",0.001,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,eta_1,0.3,"[0.05, 0.15, 0.3]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",0.05,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,gamma_1,0.9,"[0.3, 0.45, 0.6]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",0.3,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,gamma_2,1.11,"[1.1, 1.33, 1.5]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",1.1,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 151.6227766016838, 151.6227766016838]",1.414,151.6227766016838,151.6227766016838
